Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2016-11-03,189.000,191.470,187.040,187.420,2653023,N/A,4.7090,
2016-11-02,190.050,192.695,187.505,188.020,4253382,N/A,4.7241,
2016-11-01,198.040,198.500,188.105,190.790,7060036,N/A,4.7936,
2016-10-31,202.490,202.490,195.810,197.730,4692273,N/A,4.9680,
2016-10-28,204.000,205.320,199.830,199.970,4280141,N/A,5.0243,
2016-10-27,211.340,213.700,201.650,204.010,13093744,N/A,5.1258,
2016-10-26,201.000,203.190,200.100,202.240,5632841,N/A,6.1970,
2016-10-25,202.900,204.690,201.200,202.340,2445014,N/A,6.2001,
2016-10-24,201.000,203.945,200.250,202.760,2751562,N/A,6.2130,
2016-10-21,198.600,201.570,197.410,200.090,2943402,N/A,6.1312,
2016-10-20,202.120,203.000,197.050,199.100,5072877,N/A,6.1008,
2016-10-19,199.740,206.660,198.060,203.560,6991183,N/A,6.2375,
2016-10-18,195.990,199.470,193.260,199.100,5680475,N/A,6.1008,
2016-10-17,197.050,198.390,192.000,193.960,4554080,N/A,5.9433,
2016-10-14,200.660,201.430,196.300,196.510,4269850,N/A,6.0215,
2016-10-13,200.500,200.895,197.050,200.240,2495413,N/A,6.1358,
2016-10-12,200.950,203.880,200.420,201.510,1970689,N/A,6.1747,
2016-10-11,201.850,202.200,198.310,200.100,2328422,N/A,6.1315,
2016-10-10,201.350,204.140,199.660,200.950,3316297,N/A,6.1575,
2016-10-07,201.000,201.320,195.800,196.610,3493018,N/A,6.0245,
2016-10-06,202.460,204.210,200.210,201.000,4703402,N/A,6.1590,
2016-10-05,212.240,213.150,208.120,208.460,1877534,N/A,6.3876,
2016-10-04,213.100,213.320,208.820,211.410,3541481,N/A,6.4780,
2016-10-03,212.300,215.669,208.250,213.700,5999892,N/A,6.5482,
2016-09-30,202.210,204.980,199.550,204.030,2586273,N/A,6.2519,
2016-09-29,205.600,207.330,200.580,200.700,2727029,N/A,6.1498,
2016-09-28,207.510,208.250,205.260,206.270,2088374,N/A,6.3205,
2016-09-27,209.650,209.982,204.609,205.810,3373180,N/A,6.3064,
2016-09-26,206.500,211.000,206.500,208.990,2394358,N/A,6.4039,
2016-09-23,205.990,210.180,205.670,207.450,2905229,N/A,6.3567,
2016-09-22,206.400,207.280,203.000,206.430,2382902,N/A,6.3254,
2016-09-21,206.370,207.000,201.560,205.220,2633503,N/A,6.2884,
2016-09-20,206.850,207.750,203.910,204.640,2410488,N/A,6.2706,
2016-09-19,207.000,209.430,205.000,206.340,2299498,N/A,6.3227,
2016-09-16,200.420,205.700,199.000,205.400,3107808,N/A,6.2939,
2016-09-15,196.490,202.519,196.400,200.420,3085115,N/A,6.1413,
2016-09-14,195.750,197.925,194.856,196.410,2259231,N/A,6.0184,
2016-09-13,197.060,198.490,193.450,196.050,3589379,N/A,6.0074,
2016-09-12,195.000,201.369,194.100,198.300,3715161,N/A,6.0763,
2016-09-09,199.090,199.920,193.700,194.470,3756992,N/A,5.9589,
2016-09-08,199.550,199.890,196.360,197.360,3377946,N/A,6.0475,
2016-09-07,205.500,206.497,200.710,201.710,3640923,N/A,6.1808,
2016-09-06,199.020,203.250,199.000,202.830,4390572,N/A,6.2151,
2016-09-05,0.000,0.000,0.000,197.780,0,N/A,N/A
2016-09-02,202.330,203.200,196.200,197.780,5977413,N/A,6.0604,
2016-09-01,209.010,211.100,200.500,200.770,7943138,N/A,6.1520,
2016-08-31,210.430,212.600,208.650,212.010,3276548,N/A,6.4964,
2016-08-30,216.110,216.110,210.520,211.340,3168862,N/A,6.4759,
2016-08-29,220.150,220.400,215.000,215.200,3266334,N/A,6.5942,
2016-08-26,222.140,222.855,218.820,219.990,2238992,N/A,6.7409,
2016-08-25,223.110,223.800,220.770,220.960,1762519,N/A,6.7707,
2016-08-24,227.050,227.150,222.220,222.620,2570693,N/A,6.8215,
2016-08-23,224.320,228.490,222.800,224.840,4784418,N/A,6.8895,
2016-08-22,224.170,225.110,222.680,222.930,2065493,N/A,6.8310,
2016-08-19,223.540,225.169,222.530,225.000,1659530,N/A,6.8944,
2016-08-18,223.820,225.660,222.290,223.510,1714467,N/A,6.8488,
2016-08-17,224.330,224.830,222.800,223.240,1787127,N/A,6.8405,
2016-08-16,225.490,227.190,223.410,223.610,2267147,N/A,6.8519,
2016-08-15,226.020,229.500,224.930,225.590,2034328,N/A,6.9125,
2016-08-12,225.410,226.650,224.040,225.610,1813540,N/A,6.9131,
2016-08-11,226.170,227.570,223.410,224.910,1880936,N/A,6.8917,
2016-08-10,228.240,229.870,224.620,225.650,2338301,N/A,6.9144,
2016-08-09,226.820,231.538,226.650,229.080,2207833,N/A,7.0195,
2016-08-08,228.000,229.600,226.090,226.160,2263584,N/A,6.9300,
2016-08-05,230.000,232.000,227.400,230.030,3205215,N/A,7.0486,
2016-08-04,225.690,230.860,222.050,230.610,4146997,N/A,7.0664,
2016-08-03,227.370,229.699,224.210,225.790,3887759,N/A,7.0436,
2016-08-02,229.370,229.870,221.400,227.200,3934432,N/A,7.0876,
2016-08-01,235.500,236.630,229.380,230.010,4016284,N/A,7.1752,
2016-07-29,230.700,235.280,230.240,234.790,3070813,N/A,7.3244,
2016-07-28,227.950,230.760,226.600,230.610,2419059,N/A,7.1940,
2016-07-27,229.340,233.360,226.920,228.490,2889007,N/A,7.1278,
2016-07-26,227.690,230.000,225.300,229.510,3430042,N/A,7.1596,
2016-07-25,222.270,231.390,221.372,230.010,4490683,N/A,7.1752,
2016-07-22,221.990,224.500,218.880,222.270,2579692,N/A,6.9338,
2016-07-21,226.000,227.847,219.100,220.500,4428651,N/A,6.8786,
2016-07-20,226.470,229.800,225.000,228.360,2568498,N/A,7.1238,
2016-07-19,225.000,229.100,224.750,225.260,3115065,N/A,7.0271,
2016-07-18,219.640,227.090,218.300,226.250,3412055,N/A,7.0579,
2016-07-15,222.520,222.750,219.640,220.400,2234247,N/A,6.8755,
2016-07-14,223.120,224.940,221.050,221.530,2675834,N/A,6.9107,
2016-07-13,225.500,225.590,220.290,222.530,3567062,N/A,6.9419,
2016-07-12,224.100,227.500,223.220,224.650,4576165,N/A,7.0080,
2016-07-11,219.960,226.780,219.510,224.780,5429823,N/A,7.0121,
2016-07-08,217.800,219.810,214.500,216.780,4074785,N/A,6.7625,
2016-07-07,213.100,218.120,213.010,215.940,3612022,N/A,6.7363,
2016-07-06,210.000,215.230,209.000,214.440,4919855,N/A,6.6895,
2016-07-05,209.730,214.544,208.000,213.980,5175345,N/A,6.6752,
2016-07-04,0.000,0.000,0.000,216.500,0,N/A,N/A
2016-07-01,206.140,218.240,206.000,216.500,5399951,N/A,6.7538,
2016-06-30,212.970,213.500,209.020,212.280,4843111,N/A,6.6221,
2016-06-29,205.130,211.780,203.000,210.190,5994908,N/A,6.5569,
2016-06-28,201.890,204.050,199.410,201.790,6212422,N/A,6.2949,
2016-06-27,190.860,198.810,187.870,198.550,7220323,N/A,6.1938,
2016-06-24,190.050,195.120,189.730,193.150,7026516,N/A,6.0254,
2016-06-23,195.690,197.550,192.130,196.400,10130748,N/A,6.1268,
2016-06-22,199.470,205.950,195.750,196.660,23742414,N/A,6.1349,
2016-06-21,220.680,222.569,218.810,219.610,4529005,N/A,6.8508,
2016-06-20,219.500,223.750,218.230,219.700,3555471,N/A,6.8536,
2016-06-17,217.810,219.990,214.500,215.470,3112620,N/A,6.7217,
2016-06-16,217.420,218.040,213.500,217.930,2440259,N/A,6.7984,
2016-06-15,216.950,221.900,215.130,217.700,2908522,N/A,6.7912,
2016-06-14,218.880,222.200,212.530,214.960,3580167,N/A,6.7057,
2016-06-13,219.500,225.770,217.660,217.870,4193022,N/A,6.7965,
2016-06-10,227.390,227.970,218.422,218.790,6026603,N/A,6.8252,
2016-06-09,234.980,235.330,227.060,229.360,4492075,N/A,7.1550,
2016-06-08,233.800,240.845,232.605,235.520,5971995,N/A,7.3471,
2016-06-07,222.240,234.440,221.520,232.340,6213573,N/A,7.2479,
2016-06-06,218.000,220.900,215.450,220.680,2249508,N/A,6.8842,
2016-06-03,220.000,221.940,218.010,218.990,2228970,N/A,6.8315,
2016-06-02,219.590,219.909,217.110,218.960,2032832,N/A,6.8305,
2016-06-01,221.480,222.400,216.890,219.560,2982695,N/A,6.8492,
2016-05-31,223.040,224.750,221.500,223.230,2789002,N/A,6.9637,
2016-05-30,0.000,0.000,0.000,223.040,0,N/A,N/A
2016-05-27,224.990,225.930,220.750,223.040,3650272,N/A,6.9578,
2016-05-26,220.500,225.260,219.050,225.120,4072424,N/A,7.0227,
2016-05-25,217.910,221.360,216.510,219.580,3132615,N/A,6.8499,
2016-05-24,216.600,218.740,215.180,217.910,3013843,N/A,6.7978,
2016-05-23,219.870,222.600,215.860,216.220,5102479,N/A,6.7451,
2016-05-20,216.990,220.550,216.350,220.280,9007076,N/A,6.8717,
2016-05-19,213.620,216.790,207.300,215.210,6866321,N/A,6.7135,
2016-05-18,209.150,215.310,207.750,211.170,5617519,N/A,6.5875,
2016-05-17,209.050,209.820,204.020,204.660,2843597,N/A,6.3844,
2016-05-16,208.150,213.150,207.920,208.290,2949396,N/A,6.4977,
2016-05-13,207.780,211.200,206.700,207.610,2822781,N/A,6.4765,
2016-05-12,211.440,211.670,203.657,207.280,3650475,N/A,6.4662,
2016-05-11,207.590,215.480,206.050,208.960,5161864,N/A,6.5186,
2016-05-10,207.550,209.470,205.000,208.690,4070617,N/A,6.5102,
2016-05-09,215.720,216.150,206.800,208.920,4776383,N/A,6.5173,
2016-05-06,210.870,216.370,208.110,214.930,5685237,N/A,6.7048,
2016-05-05,228.460,228.640,209.790,211.530,11254827,N/A,6.5987,
2016-05-04,230.290,234.460,220.400,222.560,8700459,N/A,7.2114,
2016-05-03,237.360,238.910,231.620,232.320,4302222,N/A,7.5277,
2016-05-02,241.500,243.190,234.820,241.800,3843935,N/A,7.8348,
2016-04-29,248.140,248.430,237.810,240.760,5413787,N/A,7.8011,
2016-04-28,249.850,253.430,247.440,247.710,2518990,N/A,8.0263,
2016-04-27,252.750,255.000,249.400,251.470,3205808,N/A,8.1482,
2016-04-26,252.050,255.730,249.390,253.740,3223839,N/A,8.2217,
2016-04-25,253.010,257.380,250.760,251.820,3670348,N/A,8.1595,
2016-04-22,248.890,254.000,245.710,253.750,3786327,N/A,8.2220,
2016-04-21,248.990,250.900,246.910,248.290,2783059,N/A,8.0451,
2016-04-20,246.260,253.660,241.500,249.970,5194051,N/A,8.0996,
2016-04-19,253.120,254.370,241.251,247.370,6357526,N/A,8.0153,
2016-04-18,252.230,258.310,251.660,253.880,4271362,N/A,8.2263,
2016-04-15,251.310,254.600,249.120,254.510,3752366,N/A,8.2467,
2016-04-14,253.000,256.839,251.050,251.860,4132185,N/A,8.1608,
2016-04-13,248.510,255.500,247.330,254.530,4925595,N/A,8.2473,
2016-04-12,249.500,251.800,243.630,247.820,5763208,N/A,8.0299,
2016-04-11,251.000,258.990,245.300,249.920,9161693,N/A,8.0979,
2016-04-08,260.500,260.820,248.020,250.070,7363935,N/A,8.1028,
2016-04-07,266.450,269.340,254.510,257.200,8856171,N/A,8.3338,
2016-04-06,253.970,267.740,253.450,265.420,11705479,N/A,8.6002,
2016-04-05,240.500,256.560,240.000,255.470,9948699,N/A,8.2778,
2016-04-04,249.120,252.120,243.640,246.990,13475327,N/A,8.0030,
2016-04-01,244.825,247.900,233.250,237.590,15997509,N/A,7.6984,
2016-03-31,229.340,237.420,225.010,229.770,8012872,N/A,7.4450,
2016-03-30,235.090,235.500,226.500,226.890,4032982,N/A,7.3517,
2016-03-29,229.890,232.380,225.330,230.130,4014330,N/A,7.4567,
2016-03-28,231.610,234.810,225.000,230.260,3925685,N/A,7.4609,
2016-03-25,0.000,0.000,0.000,227.750,0,N/A,N/A
2016-03-24,215.780,228.888,215.000,227.750,4960900,N/A,7.3796,
2016-03-23,232.370,234.730,222.030,222.580,4948841,N/A,7.2121,
2016-03-22,237.210,238.990,232.558,234.240,4315988,N/A,7.5899,
2016-03-21,235.340,239.880,235.000,238.320,5307822,N/A,7.7221,
2016-03-18,229.100,234.480,228.060,232.740,4711793,N/A,7.5413,
2016-03-17,221.470,228.500,220.000,226.380,3782891,N/A,7.3352,
2016-03-16,218.000,222.580,217.020,221.930,3516703,N/A,7.1910,
2016-03-15,214.270,218.970,211.500,218.340,3180452,N/A,7.0747,
2016-03-14,212.650,216.720,210.640,215.150,4065706,N/A,6.9713,
2016-03-11,207.930,209.420,205.330,207.500,3343077,N/A,6.7234,
2016-03-10,210.000,213.290,200.671,205.180,5192523,N/A,6.6483,
2016-03-09,204.520,209.373,202.790,208.720,3208554,N/A,6.7630,
2016-03-08,203.500,207.500,202.200,202.600,4178693,N/A,6.5647,
2016-03-07,197.680,209.700,197.400,205.290,5337072,N/A,6.6518,
2016-03-04,198.000,204.030,197.500,201.040,6489058,N/A,6.5141,
2016-03-03,188.280,197.420,184.220,195.740,4829018,N/A,6.3424,
2016-03-02,183.730,188.520,181.500,188.340,4862396,N/A,6.1026,
2016-03-01,194.250,195.948,182.700,186.350,6712159,N/A,6.0381,
2016-02-29,192.400,196.350,189.222,191.930,4498997,N/A,6.2189,
2016-02-26,188.700,192.000,185.000,190.340,6065117,N/A,6.1674,
2016-02-25,178.650,188.519,175.200,187.430,5750741,N/A,6.0731,
2016-02-24,172.750,179.500,167.840,179.000,5395609,N/A,5.8000,
2016-02-23,176.160,181.730,173.680,177.210,5984374,N/A,5.7420,
2016-02-22,170.120,178.910,169.850,177.740,5060051,N/A,5.7592,
2016-02-19,163.660,167.490,162.500,166.580,2959390,N/A,5.3975,
2016-02-18,172.420,172.950,164.770,166.770,3887574,N/A,5.4037,
2016-02-17,159.000,169.340,156.680,168.680,5825159,N/A,5.4656,
2016-02-16,158.700,162.950,154.110,155.170,5593794,N/A,5.0278,
2016-02-15,0.000,0.000,0.000,151.040,0,N/A,N/A
2016-02-12,155.000,157.010,143.700,151.040,7235783,N/A,4.8940,
2016-02-11,152.000,163.260,147.000,150.470,14252364,N/A,4.8755,
2016-02-10,150.500,154.970,141.740,143.670,10406513,N/A,4.8926,
2016-02-09,142.320,159.790,141.050,148.250,8651648,N/A,5.0486,
2016-02-08,157.105,157.150,146.000,147.990,9312988,N/A,5.0398,
2016-02-05,171.300,173.000,157.744,162.600,9437591,N/A,5.5373,
2016-02-04,170.700,175.980,166.990,175.330,4385366,N/A,5.9708,
2016-02-03,183.590,183.940,170.180,173.480,7931362,N/A,5.9078,
2016-02-02,192.420,193.120,180.230,182.780,5773637,N/A,6.2245,
2016-02-01,188.760,199.520,182.750,196.940,5297639,N/A,6.7067,
2016-01-29,189.950,193.740,188.080,191.200,2852289,N/A,6.5113,
2016-01-28,190.790,191.280,182.410,189.700,4592754,N/A,6.4602,
2016-01-27,192.380,193.260,185.770,188.070,3617221,N/A,6.4047,
2016-01-26,196.700,197.820,188.880,193.560,4964180,N/A,6.5916,
2016-01-25,200.060,203.570,195.880,196.380,2698739,N/A,6.6877,
2016-01-22,204.801,205.500,199.030,202.550,3124055,N/A,6.8978,
2016-01-21,201.550,203.230,195.020,199.970,3166159,N/A,6.8099,
2016-01-20,199.400,201.280,191.250,198.700,5838608,N/A,6.7667,
2016-01-19,208.710,210.470,200.780,204.720,4038676,N/A,6.9717,
2016-01-18,0.000,0.000,0.000,204.990,0,N/A,N/A
2016-01-15,198.970,205.070,197.250,204.990,5578640,N/A,6.9809,
2016-01-14,202.210,210.000,193.380,206.180,6490741,N/A,7.0214,
2016-01-13,212.010,212.650,200.000,200.310,4126416,N/A,6.8215,
2016-01-12,211.600,213.740,205.310,209.970,3091917,N/A,7.1505,
2016-01-11,214.010,214.450,203.000,207.850,4091422,N/A,7.0783,
2016-01-08,217.860,220.440,210.770,211.000,3628058,N/A,7.1856,
2016-01-07,214.190,218.440,213.670,215.650,3554251,N/A,7.3439,
2016-01-06,220.000,220.050,215.980,219.040,3779128,N/A,7.4594,
2016-01-05,226.360,226.890,220.000,223.430,3186752,N/A,7.6089,
2016-01-04,230.720,231.380,219.000,223.410,6827146,N/A,7.6082,
2016-01-01,0.000,0.000,0.000,240.010,0,N/A,N/A
2015-12-31,238.510,243.450,238.370,240.010,2715038,N/A,8.1735,
2015-12-30,236.600,243.634,235.671,238.090,3697921,N/A,8.1081,
2015-12-29,230.060,237.720,229.547,237.190,2406290,N/A,8.0774,
2015-12-28,231.490,231.980,225.540,228.950,1901304,N/A,7.7968,
2015-12-25,0.000,0.000,0.000,230.570,0,N/A,N/A
2015-12-24,230.560,231.880,228.280,230.570,710277,N/A,7.8520,
2015-12-23,232.180,233.450,228.130,229.700,1554979,N/A,7.8224,
2015-12-22,234.990,236.550,229.630,229.950,1961495,N/A,7.8309,
2015-12-21,231.690,235.830,231.080,232.560,1953174,N/A,7.9198,
2015-12-18,232.890,235.900,229.290,230.460,3014170,N/A,7.8483,
2015-12-17,233.940,237.760,229.815,233.390,3298638,N/A,7.9480,
2015-12-16,222.100,234.880,220.730,234.510,5104341,N/A,7.9862,
2015-12-15,221.820,222.220,218.000,221.090,2244424,N/A,7.5292,
2015-12-14,217.510,220.920,214.870,218.580,2831518,N/A,7.4437,
2015-12-11,225.240,225.750,216.640,217.020,3268726,N/A,7.3906,
2015-12-10,224.710,228.490,223.640,227.070,2071692,N/A,7.7328,
2015-12-09,226.700,227.500,220.720,224.520,3057753,N/A,7.6460,
2015-12-08,227.520,228.800,224.200,226.720,2687636,N/A,7.7209,
2015-12-07,227.700,235.630,226.150,231.130,3144223,N/A,7.8711,
2015-12-04,232.460,233.270,227.660,230.380,2573603,N/A,7.8455,
2015-12-03,235.480,237.450,230.000,232.710,2939564,N/A,7.9249,
2015-12-02,237.000,238.600,231.230,231.990,2981468,N/A,7.9004,
2015-12-01,231.060,238.000,231.050,237.190,3733955,N/A,8.0774,
2015-11-30,231.790,234.280,229.080,230.260,2659813,N/A,7.8414,
2015-11-27,231.060,232.250,227.010,231.610,1949353,N/A,7.8874,
2015-11-26,0.000,0.000,0.000,229.640,0,N/A,N/A
2015-11-25,221.340,230.825,220.375,229.640,3990779,N/A,7.8203,
2015-11-24,215.370,221.000,215.000,218.250,2480293,N/A,7.4325,
2015-11-23,217.350,219.180,214.680,217.750,2526199,N/A,7.4154,
2015-11-20,223.490,225.000,213.580,220.010,4400722,N/A,7.4924,
2015-11-19,220.540,226.190,220.300,221.800,2504375,N/A,7.5533,
2015-11-18,214.500,221.380,212.520,221.070,2811900,N/A,7.5285,
2015-11-17,215.200,216.000,211.400,214.000,2148679,N/A,7.2877,
2015-11-16,206.090,214.980,205.800,214.310,2925395,N/A,7.2983,
2015-11-13,212.950,212.990,206.520,207.190,3430327,N/A,7.0558,
2015-11-12,217.850,219.000,212.660,212.940,2915900,N/A,7.2516,
2015-11-11,217.770,219.480,213.630,219.080,3347806,N/A,7.4607,
2015-11-10,223.480,223.700,216.080,216.500,4617007,N/A,7.3729,
2015-11-09,232.990,232.990,224.310,225.330,3850860,N/A,7.6736,
2015-11-06,230.700,233.359,229.500,232.360,2445293,N/A,7.9130,
2015-11-05,230.580,234.584,229.190,231.770,4496843,N/A,7.8929,
2015-11-04,227.000,232.740,225.200,231.630,12726366,N/A,7.8881,
2015-11-03,213.850,214.440,207.750,208.350,8332486,N/A,7.1276,
2015-11-02,208.920,215.800,207.220,213.790,3927944,N/A,7.3137,
2015-10-30,210.400,211.630,203.890,206.930,4438901,N/A,7.0790,
2015-10-29,211.750,213.748,210.640,211.630,1805032,N/A,7.2398,
2015-10-28,211.310,213.450,208.300,212.960,2728593,N/A,7.2853,
2015-10-27,214.840,217.100,207.510,210.350,3519449,N/A,7.1960,
2015-10-26,211.380,215.880,210.000,215.260,3391438,N/A,7.3640,
2015-10-23,215.000,215.350,207.690,209.090,4235462,N/A,7.1529,
2015-10-22,211.560,215.750,209.400,211.720,2825159,N/A,7.2429,
2015-10-21,211.990,214.810,208.800,210.090,4183471,N/A,7.1871,
2015-10-20,227.720,228.600,202.000,213.030,14900047,N/A,7.2877,
2015-10-19,226.500,231.150,224.940,228.100,2507895,N/A,7.8033,
2015-10-16,223.040,230.480,222.870,227.010,4334493,N/A,7.7660,
2015-10-15,216.430,221.730,213.700,221.310,2844233,N/A,7.5710,
2015-10-14,220.670,220.950,215.430,216.880,3104446,N/A,7.4194,
2015-10-13,213.280,222.522,211.130,219.250,5171535,N/A,7.5005,
2015-10-12,222.990,223.000,215.270,215.580,3836303,N/A,7.3750,
2015-10-09,220.930,224.370,218.360,220.690,6158370,N/A,7.5498,
2015-10-08,230.080,230.720,221.310,226.720,6133216,N/A,7.7561,
2015-10-07,236.630,237.700,229.120,231.960,6813959,N/A,7.9353,
2015-10-06,240.000,243.030,235.580,241.460,5235897,N/A,8.2603,
2015-10-05,248.840,249.840,244.130,246.150,3689865,N/A,8.4208,
2015-10-02,235.600,247.700,234.930,247.570,4423982,N/A,8.4693,
2015-10-01,247.510,248.500,237.130,239.880,4572964,N/A,8.2063,
2015-09-30,252.000,252.400,242.340,248.400,4929582,N/A,8.4977,
2015-09-29,250.460,254.730,245.460,246.650,3703154,N/A,8.4379,
2015-09-28,257.350,259.790,246.610,248.430,4901057,N/A,8.4988,
2015-09-25,266.610,266.910,256.150,256.910,3773392,N/A,8.7889,
2015-09-24,259.530,263.450,256.210,263.120,3448191,N/A,9.0013,
2015-09-23,261.950,262.080,257.584,261.060,2600778,N/A,8.9308,
2015-09-22,259.030,262.650,255.870,260.940,3664353,N/A,8.9267,
2015-09-21,263.980,271.570,255.800,264.200,6120155,N/A,9.0382,
2015-09-18,257.960,263.820,257.500,260.620,3763064,N/A,8.9158,
2015-09-17,263.960,265.500,260.690,262.070,3585812,N/A,8.9654,
2015-09-16,253.040,262.880,252.880,262.250,4417081,N/A,8.9715,
2015-09-15,252.750,254.600,249.500,253.570,2933466,N/A,8.6746,
2015-09-14,251.100,254.250,249.670,253.190,2890851,N/A,8.6616,
2015-09-11,247.640,250.240,244.730,250.240,2350844,N/A,8.5607,
2015-09-10,247.230,250.723,245.330,248.480,2709024,N/A,8.5005,
2015-09-09,252.050,254.250,248.303,248.910,3390788,N/A,8.5152,
2015-09-08,245.050,249.160,244.050,248.170,3138231,N/A,8.4899,
2015-09-07,0.000,0.000,0.000,241.930,0,N/A,N/A
2015-09-04,240.890,244.090,238.200,241.930,3689153,N/A,8.2764,
2015-09-03,252.060,252.080,245.000,245.570,4194772,N/A,8.4009,
2015-09-02,245.300,247.880,239.780,247.690,4629174,N/A,8.4734,
2015-09-01,240.340,246.000,236.970,238.630,5454765,N/A,8.1635,
2015-08-31,245.620,254.950,245.510,249.060,4700232,N/A,8.5203,
2015-08-28,241.860,251.450,241.570,248.480,5513673,N/A,8.5005,
2015-08-27,231.000,244.750,230.810,242.990,7655959,N/A,8.3127,
2015-08-26,227.930,228.000,215.510,224.840,4963042,N/A,7.6917,
2015-08-25,230.520,230.900,219.120,220.030,4327294,N/A,7.5272,
2015-08-24,202.790,231.400,195.000,218.870,9581585,N/A,7.4875,
2015-08-21,236.000,243.800,230.510,230.770,6590234,N/A,7.8946,
2015-08-20,252.060,254.560,241.900,242.180,4905757,N/A,8.2849,
2015-08-19,260.330,260.650,255.020,255.250,3604282,N/A,8.7321,
2015-08-18,255.380,260.950,253.560,260.720,4195035,N/A,8.9192,
2015-08-17,255.560,256.590,250.510,254.990,7176690,N/A,8.7232,
2015-08-14,247.240,247.930,241.770,243.150,4364810,N/A,8.3181,
2015-08-13,239.860,246.480,239.120,242.510,4689182,N/A,8.2962,
2015-08-12,235.000,239.770,232.740,238.170,3739157,N/A,8.1478,
2015-08-11,237.150,239.300,234.440,237.370,4264939,N/A,8.1204,
2015-08-10,238.150,242.970,236.050,241.140,4185860,N/A,8.2494,
2015-08-07,243.580,243.730,238.390,242.510,5073390,N/A,8.2962,
2015-08-06,249.540,255.000,236.120,246.130,14623754,N/A,8.4201,
2015-08-05,263.580,271.000,260.400,270.130,6214319,N/A,9.6719,
2015-08-04,260.010,266.720,258.340,266.280,2352530,N/A,9.5341,
2015-08-03,266.290,266.710,257.070,259.990,2553474,N/A,9.3089,
2015-07-31,267.600,269.360,265.123,266.150,2222552,N/A,9.5294,
2015-07-30,262.690,266.940,262.110,266.790,2034560,N/A,9.5523,
2015-07-29,264.270,267.890,262.000,263.820,2790095,N/A,9.4460,
2015-07-28,255.750,265.400,251.837,264.820,3895808,N/A,9.4818,
2015-07-27,262.430,264.432,250.790,253.010,4694192,N/A,9.0590,
2015-07-24,267.380,271.090,263.920,265.410,2836498,N/A,9.5029,
2015-07-23,269.650,269.900,265.270,267.200,2227239,N/A,9.5670,
2015-07-22,261.270,269.440,260.860,267.870,3104960,N/A,9.5910,
2015-07-21,270.050,273.500,266.550,266.770,6108686,N/A,9.5516,
2015-07-20,275.000,286.650,272.540,282.260,4978454,N/A,10.1062,
2015-07-17,272.500,275.540,268.250,274.660,5004099,N/A,9.8341,
2015-07-16,264.220,267.200,263.160,266.680,1615961,N/A,9.5484,
2015-07-15,266.740,267.490,262.080,263.140,2021621,N/A,9.4217,
2015-07-14,262.100,265.990,260.510,265.650,1907641,N/A,9.5115,
2015-07-13,262.250,262.550,256.050,262.160,2960319,N/A,9.3866,
2015-07-10,262.220,263.000,257.820,259.150,2610858,N/A,9.2788,
2015-07-09,259.080,262.950,256.790,257.920,3334077,N/A,9.2348,
2015-07-08,259.320,260.800,254.310,254.960,6221077,N/A,9.1288,
2015-07-07,275.000,275.200,260.770,267.880,6105126,N/A,9.5914,
2015-07-06,278.880,281.690,276.300,279.720,4121933,N/A,10.0153,
2015-07-03,0.000,0.000,0.000,280.020,0,N/A,N/A
2015-07-02,280.195,282.450,273.310,280.020,7163930,N/A,10.0260,
2015-07-01,271.110,272.620,267.850,269.150,2101224,N/A,9.6368,
2015-06-30,264.800,270.920,264.000,268.260,3086935,N/A,9.6050,
2015-06-29,261.950,265.950,260.700,262.020,3478909,N/A,9.3816,
2015-06-26,268.890,269.110,266.000,267.090,3838434,N/A,9.5631,
2015-06-25,266.450,271.410,265.250,268.790,2849204,N/A,9.6240,
2015-06-24,266.980,267.350,263.720,265.170,2412293,N/A,9.4943,
2015-06-23,260.320,268.000,258.570,267.670,3870818,N/A,9.5839,
2015-06-22,262.150,264.400,255.690,259.790,4561079,N/A,9.3017,
2015-06-19,262.400,263.800,260.100,262.510,2463013,N/A,9.3991,
2015-06-18,262.000,263.460,260.020,261.890,2782703,N/A,9.3769,
2015-06-17,252.170,264.360,252.020,260.410,5512920,N/A,9.3239,
2015-06-16,250.130,253.440,249.095,253.120,1984678,N/A,9.0629,
2015-06-15,249.700,251.280,246.010,250.380,2186175,N/A,8.9648,
2015-06-12,250.210,253.460,250.210,250.690,1422335,N/A,8.9759,
2015-06-11,253.260,254.370,250.430,251.410,2044058,N/A,9.0017,
2015-06-10,251.900,254.000,248.500,250.700,3454453,N/A,8.9763,
2015-06-09,255.400,257.740,254.140,256.000,2611146,N/A,9.1660,
2015-06-08,250.850,258.750,250.310,256.290,5016997,N/A,9.1764,
2015-06-05,246.000,249.700,245.680,249.140,3022026,N/A,8.9204,
2015-06-04,247.500,249.300,245.710,245.920,2453615,N/A,8.8051,
2015-06-03,248.200,250.720,247.010,248.990,1781505,N/A,8.9150,
2015-06-02,248.920,249.400,246.300,248.350,2134809,N/A,8.8921,
2015-06-01,251.410,251.600,247.470,249.450,2505057,N/A,8.9315,
2015-05-29,251.000,252.868,249.430,250.800,3789283,N/A,8.9798,
2015-05-28,247.030,251.800,245.050,251.450,3647283,N/A,9.0031,
2015-05-27,248.510,249.500,245.550,247.430,3407506,N/A,8.8592,
2015-05-26,247.680,252.000,246.500,247.455,3498682,N/A,8.8601,
