Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2013-01-24,36.000,37.720,35.840,36.990,1970389,N/A,26.6894,
2013-01-23,35.020,36.240,34.960,36.000,1564206,N/A,25.9751,
2013-01-22,34.560,35.550,34.260,35.190,1920131,N/A,25.3907,
2013-01-21,0.000,0.000,0.000,34.520,0,N/A,N/A
2013-01-18,34.740,34.780,33.820,34.520,3555074,N/A,24.9073,
2013-01-17,34.160,34.850,33.920,34.380,1436604,N/A,24.8062,
2013-01-16,33.850,34.230,33.730,34.100,1378138,N/A,24.6042,
2013-01-15,33.110,34.250,33.080,33.900,1624389,N/A,24.4599,
2013-01-14,33.080,33.380,32.850,33.260,925018,N/A,23.9981,
2013-01-11,34.040,34.040,32.110,32.910,1563274,N/A,23.7456,
2013-01-10,33.870,33.990,33.380,33.530,922405,N/A,24.1929,
2013-01-09,34.010,34.190,33.400,33.640,697979,N/A,24.2723,
2013-01-08,34.500,34.500,33.110,33.680,1283985,N/A,24.3012,
2013-01-07,34.800,34.800,33.900,34.340,441909,N/A,24.7774,
2013-01-04,34.800,34.800,33.920,34.400,673993,N/A,24.8207,
2013-01-03,35.180,35.450,34.750,34.770,741941,N/A,25.0876,
2013-01-02,35.000,35.450,34.705,35.360,1194710,N/A,25.5133,
2013-01-01,0.000,0.000,0.000,33.870,0,N/A,N/A
2012-12-31,33.000,33.970,33.000,33.870,594846,N/A,24.4383,
2012-12-28,33.380,33.650,33.020,33.220,414135,N/A,23.9693,
2012-12-27,33.500,33.910,33.000,33.690,561085,N/A,24.3084,
2012-12-26,33.960,34.500,33.500,33.590,601784,N/A,24.2362,
2012-12-25,0.000,0.000,0.000,34.280,0,N/A,N/A
2012-12-24,33.640,34.350,33.550,34.280,375796,N/A,24.7341,
2012-12-21,33.940,34.170,33.580,34.000,1492306,N/A,24.5321,
2012-12-20,34.510,34.788,34.050,34.430,921194,N/A,24.8423,
2012-12-19,34.750,35.260,34.520,34.610,1298731,N/A,24.9722,
2012-12-18,34.260,35.070,34.260,34.590,1554436,N/A,24.9578,
2012-12-17,33.770,34.500,33.750,34.400,824809,N/A,24.8207,
2012-12-14,33.780,34.400,33.590,33.810,1022943,N/A,24.3950,
2012-12-13,35.260,35.300,32.750,33.610,2151224,N/A,24.2507,
2012-12-12,35.210,35.800,34.950,35.260,2063877,N/A,25.4412,
2012-12-11,34.600,35.500,34.460,35.280,1572591,N/A,25.4556,
2012-12-10,34.430,34.800,34.180,34.570,929751,N/A,24.9433,
2012-12-07,34.300,34.490,33.850,34.170,664586,N/A,24.6547,
2012-12-06,33.820,34.800,33.500,33.900,660397,N/A,24.4599,
2012-12-05,33.820,34.190,33.580,33.710,661486,N/A,24.3228,
2012-12-04,34.080,34.800,33.550,33.900,1264211,N/A,24.4599,
2012-12-03,33.890,35.000,33.500,34.620,2085753,N/A,24.9794,
2012-11-30,33.630,34.280,33.010,33.820,1420284,N/A,24.4022,
2012-11-29,33.440,34.000,32.870,33.690,1103315,N/A,24.3084,
2012-11-28,32.000,34.290,31.910,33.230,1525299,N/A,23.9765,
2012-11-27,32.130,32.660,31.520,32.150,910770,N/A,23.1972,
2012-11-26,32.100,32.300,31.620,32.270,496219,N/A,23.2838,
2012-11-23,32.600,32.830,31.700,32.130,430212,N/A,23.1828,
2012-11-22,0.000,0.000,0.000,32.470,0,N/A,N/A
2012-11-21,32.610,33.470,32.286,32.470,963133,N/A,23.4281,
2012-11-20,32.800,33.100,31.910,33.000,922427,N/A,23.8105,
2012-11-19,32.070,33.250,31.840,32.920,1392548,N/A,23.7528,
2012-11-16,31.150,32.000,30.590,31.840,908650,N/A,22.9736,
2012-11-15,31.300,31.440,30.500,30.820,983941,N/A,22.2376,
2012-11-14,31.960,32.120,31.204,31.380,871315,N/A,22.6416,
2012-11-13,31.290,32.000,30.720,31.614,998263,N/A,22.8105,
2012-11-12,30.290,31.420,30.160,31.070,557651,N/A,22.4180,
2012-11-09,30.600,30.930,29.850,30.320,863028,N/A,21.8768,
2012-11-08,31.010,31.880,30.940,31.310,1273986,N/A,22.5911,
2012-11-07,31.000,32.050,30.810,31.540,1715417,N/A,22.7571,
2012-11-06,30.610,31.200,29.950,31.150,2323943,N/A,22.4757,
2012-11-05,29.800,31.580,29.330,31.500,2049118,N/A,21.5446,
2012-11-02,29.270,29.550,28.550,28.918,1030265,N/A,19.7786,
2012-11-01,28.250,29.490,28.200,29.245,1024054,N/A,20.0022,
2012-10-31,27.700,28.350,27.370,28.131,775142,N/A,19.2403,
2012-10-30,0.000,0.000,0.000,27.380,0,N/A,N/A
2012-10-29,0.000,0.000,0.000,27.380,0,N/A,N/A
2012-10-26,27.530,27.800,27.020,27.380,477305,N/A,18.7267,
2012-10-25,27.800,27.800,27.450,27.520,577686,N/A,18.8224,
2012-10-24,28.520,28.520,27.250,27.420,1016368,N/A,18.7540,
2012-10-23,27.380,28.560,27.370,28.390,749273,N/A,19.4175,
2012-10-22,27.990,28.000,27.360,27.850,470198,N/A,19.0481,
2012-10-19,27.830,28.200,27.300,27.740,1027302,N/A,18.9729,
2012-10-18,28.990,28.990,27.780,28.040,740947,N/A,19.1781,
2012-10-17,28.250,28.840,27.800,28.819,667963,N/A,19.7109,
2012-10-16,27.670,28.090,27.340,28.060,479248,N/A,19.1917,
2012-10-15,28.020,28.050,26.860,27.330,1469167,N/A,18.6925,
2012-10-12,28.320,28.730,27.500,27.640,987535,N/A,18.9045,
2012-10-11,28.940,28.980,28.250,28.320,450571,N/A,19.3696,
2012-10-10,28.390,28.720,28.010,28.400,505063,N/A,19.4243,
2012-10-09,29.120,29.120,28.250,28.370,1193479,N/A,19.4038,
2012-10-08,28.860,29.400,28.611,29.250,890006,N/A,20.0057,
2012-10-05,29.700,29.810,28.680,28.890,938670,N/A,19.7594,
2012-10-04,30.000,30.100,28.650,29.400,1541207,N/A,20.1082,
2012-10-03,29.750,29.950,29.240,29.300,1055288,N/A,20.0399,
2012-10-02,29.280,29.890,29.000,29.800,728969,N/A,20.3818,
2012-10-01,29.500,29.890,29.000,29.160,884305,N/A,19.9441,
2012-09-28,28.730,29.890,28.610,29.280,4343338,N/A,20.0262,
2012-09-27,27.820,28.540,27.600,28.490,1758553,N/A,19.4858,
2012-09-26,27.660,28.400,27.480,27.540,1527320,N/A,18.8361,
2012-09-25,28.620,29.480,27.530,27.660,5684952,N/A,18.9182,
2012-09-24,29.510,31.030,29.400,30.660,1302004,N/A,20.9700,
2012-09-21,31.100,31.490,29.540,30.020,1870170,N/A,20.5323,
2012-09-20,30.930,31.500,30.680,30.900,912372,N/A,21.1342,
2012-09-19,31.000,31.740,30.940,31.050,1048457,N/A,21.2368,
2012-09-18,31.880,31.900,30.680,31.340,1788480,N/A,21.4351,
2012-09-17,32.350,32.780,31.510,32.540,3212991,N/A,22.2559,
2012-09-14,30.000,30.650,29.650,30.390,1536669,N/A,20.7854,
2012-09-13,28.570,29.500,28.480,29.480,1486359,N/A,20.1630,
2012-09-12,27.900,28.580,27.800,28.280,1145334,N/A,19.3422,
2012-09-11,27.760,28.160,27.400,27.800,1014871,N/A,19.0139,
2012-09-10,29.200,29.350,27.295,27.370,1484015,N/A,18.7198,
2012-09-07,28.550,29.570,28.500,29.350,953151,N/A,20.0740,
2012-09-06,28.000,28.900,27.900,28.550,841643,N/A,19.5269,
2012-09-05,28.010,28.500,27.810,27.940,639227,N/A,19.1097,
2012-09-04,28.520,28.990,27.900,28.140,752496,N/A,19.2465,
2012-09-03,0.000,0.000,0.000,28.520,0,N/A,N/A
2012-08-31,28.610,28.840,28.200,28.520,539736,N/A,19.5064,
2012-08-30,28.600,28.740,28.100,28.410,656307,N/A,19.4311,
2012-08-29,28.490,28.640,28.020,28.410,838883,N/A,19.4311,
2012-08-28,28.400,29.375,28.000,28.690,1402656,N/A,19.6226,
2012-08-27,29.570,29.700,28.170,28.320,1350325,N/A,19.3696,
2012-08-24,30.060,30.240,29.410,29.500,1430011,N/A,20.1766,
2012-08-23,30.000,30.850,29.650,30.730,1470974,N/A,21.0179,
2012-08-22,29.010,30.040,29.010,29.950,775490,N/A,20.4844,
2012-08-21,29.580,30.000,29.000,29.110,761516,N/A,19.9099,
2012-08-20,30.150,30.390,29.100,29.510,1179008,N/A,20.1835,
2012-08-17,30.290,30.710,29.980,30.010,508122,N/A,20.5255,
2012-08-16,29.530,30.390,29.500,30.300,668973,N/A,20.7238,
2012-08-15,29.390,29.700,28.810,29.400,525385,N/A,20.1082,
2012-08-14,30.750,31.170,29.260,29.420,793336,N/A,20.1219,
